description,sqlDataType,subsystem,tlmIdentifier,tlmMnemonic,unit
Bad centroid data quality flag,varchar,FGS,300524,IFGS_ACQ_BADCNTRD,
FGS ACQ Image Data Processing Telemetry Centroid Data Quality,bigint,FGS,300519,IFGS_ACQ_CNTD,
FGS Centroid Data Telemetry Guide Star intensity,real,FGS,300306,IFGS_CTD_AMPLITUDE,count/s
FGS Centroid Data Telemetry Centroid Data Quality,bigint,FGS,300307,IFGS_CTD_CNTD,
FGS Centroid Data Telemetry Guider States,varchar,FGS,300302,IFGS_CTD_GS,
FGS Centroid Data Telemetry Detector ID,varchar,FGS,300301,IFGS_CTD_ID,
FGS Centroid Data Telemetry Guide Star x position,real,FGS,300304,IFGS_CTDGS_X,asec
FGS Centroid Data Telemetry Guide Star y position,real,FGS,300305,IFGS_CTDGS_Y,asec
FGS Track/Fine Guide Image Data Processing Telemetry Bad Centroid Data Count,bigint,FGS,300448,IFGS_TFG_BADCNTCNT,count/s
Bad centroid data quality flag,varchar,FGS,300224,IFGS_TFG_BADCNTRD,
FGS Track/Fine Guide Image Data Processing Telemetry Centroid Data Quality,bigint,FGS,300219,IFGS_TFG_CNTD,
FGS Centroid Packet - Bad Centroid Data Quality Flag,varchar,ACS,2522,SA_ZFGBADCNT,None
FGS Centroid Packet - Centroid Data Quality (Parent),bigint,ACS,2525,SA_ZFGCENTDQ,None
